#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+-----+------+----------------+---------------+
| run:fill    | time              | nls | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+-----+------+----------------+---------------+
| 302026:6147 | 08/30/17 06:49:55 | 28  | 28   | 0.004792767    | 0.004651888   |
| 302029:6147 | 08/30/17 07:16:38 | 79  | 79   | 0.016025901    | 0.015281544   |
+-------------+-------------------+-----+------+----------------+---------------+
#Summary: 
+-------+------+-----+------+-------------------+------------------+
| nfill | nrun | nls | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-----+------+-------------------+------------------+
| 1     | 2    | 107 | 107  | 0.020818668       | 0.019933432      |
+-------+------+-----+------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 305186:6304 | 10/16/17 19:58:49 | 415  | 415  | 0.127495967    | 0.122050118   |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 0.204476365    | 0.198329647   |
| 305202:6305 | 10/17/17 08:18:29 | 638  | 638  | 0.217157871    | 0.207759559   |
| 305204:6305 | 10/17/17 13:20:31 | 1229 | 1229 | 0.262804247    | 0.254512562   |
| 305207:6306 | 10/17/17 23:34:03 | 1025 | 1025 | 0.331057915    | 0.318101281   |
| 305208:6306 | 10/18/17 06:15:41 | 372  | 372  | 0.086604556    | 0.083056036   |
| 305234:6307 | 10/18/17 11:00:15 | 41   | 41   | 0.014318487    | 0.012655354   |
| 305236:6307 | 10/18/17 11:28:42 | 20   | 20   | 0.006968178    | 0.006483683   |
| 305237:6307 | 10/18/17 11:42:18 | 1146 | 1146 | 0.353830403    | 0.337866398   |
| 305247:6308 | 10/18/17 23:58:28 | 371  | 371  | 0.129358989    | 0.122425911   |
| 305248:6308 | 10/19/17 02:26:29 | 951  | 951  | 0.271546805    | 0.257882530   |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 0.097354287    | 0.095039739   |
| 305282:6309 | 10/19/17 15:28:19 | 133  | 133  | 0.046409666    | 0.044344542   |
| 305310:6311 | 10/19/17 20:28:01 | 382  | 382  | 0.133052502    | 0.126155945   |
| 305311:6311 | 10/19/17 23:03:23 | 150  | 150  | 0.049717054    | 0.047386625   |
| 305312:6311 | 10/20/17 00:05:08 | 226  | 226  | 0.072089837    | 0.068271226   |
| 305313:6311 | 10/20/17 01:35:47 | 733  | 733  | 0.176940908    | 0.170164197   |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 0.070088392    | 0.068334406   |
| 305336:6312 | 10/20/17 12:11:09 | 203  | 203  | 0.070077216    | 0.066202888   |
| 305338:6312 | 10/20/17 13:32:38 | 101  | 101  | 0.034662970    | 0.033111039   |
| 305341:6312 | 10/20/17 14:14:05 | 499  | 499  | 0.159094614    | 0.151780463   |
| 305349:6312 | 10/20/17 17:29:36 | 16   | 16   | 0.004429554    | 0.003880846   |
| 305350:6312 | 10/20/17 17:43:01 | 15   | 15   | 0.004064653    | 0.003820111   |
| 305351:6312 | 10/20/17 17:51:38 | 867  | 867  | 0.184753526    | 0.178341011   |
| 305358:6313 | 10/21/17 02:01:05 | 150  | 150  | 0.052412278    | 0.048578472   |
| 305364:6314 | 10/21/17 05:43:21 | 92   | 92   | 0.031821405    | 0.030414385   |
| 305365:6314 | 10/21/17 06:21:12 | 822  | 822  | 0.260786144    | 0.248985048   |
| 305366:6314 | 10/21/17 11:46:55 | 1239 | 1239 | 0.239446349    | 0.232273985   |
| 305376:6315 | 10/22/17 00:11:09 | 98   | 98   | 0.034220032    | 0.032670779   |
| 305377:6315 | 10/22/17 01:10:10 | 1505 | 1505 | 0.414127601    | 0.395849905   |
| 305405:6317 | 10/22/17 18:15:49 | 493  | 493  | 0.168965606    | 0.159491167   |
| 305406:6317 | 10/22/17 21:45:00 | 1458 | 1458 | 0.328170351    | 0.316024204   |
| 305440:6318 | 10/23/17 10:50:33 | 252  | 252  | 0.087559472    | 0.083253340   |
| 305441:6318 | 10/23/17 12:36:13 | 121  | 121  | 0.038085372    | 0.036615177   |
