#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 306459:6371 | 11/09/17 22:00:10 | 2274 | 2273 | 0.314986297    | 0.307670838   |
| 306460:6371 | 11/10/17 12:48:13 | 73   | 64   | 0.003867124    | 0.003722601   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+------+------+-------------------+------------------+
| nfill | nrun | nls  | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+------+------+-------------------+------------------+
| 2     | 13   | 4523 | 4469 | 0.914341023       | 0.862255849      |
+-------+------+------+------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
