#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
| 305377:6315 | 10/22/17 01:10:10 | 1514 | HLT_DiPFJetAve60_v10 | 0.000006387    | 0.000006121   |
| 305405:6317 | 10/22/17 18:15:49 | 494  | HLT_DiPFJetAve60_v10 | 0.000002300    | 0.000002168   |
| 305406:6317 | 10/22/17 21:45:00 | 1458 | HLT_DiPFJetAve60_v10 | 0.000007139    | 0.000006883   |
| 305440:6318 | 10/23/17 10:50:33 | 266  | HLT_DiPFJetAve60_v10 | 0.000001236    | 0.000001114   |
| 305441:6318 | 10/23/17 12:36:13 | 121  | HLT_DiPFJetAve60_v10 | 0.000000510    | 0.000000490   |
| 305516:6323 | 10/23/17 23:42:58 | 552  | HLT_DiPFJetAve60_v10 | 0.000002775    | 0.000002546   |
| 305517:6323 | 10/24/17 03:42:14 | 163  | HLT_DiPFJetAve60_v10 | 0.000000849    | 0.000000577   |
| 305518:6323 | 10/24/17 04:48:59 | 1134 | HLT_DiPFJetAve60_v10 | 0.000005482    | 0.000005281   |
| 305586:6324 | 10/24/17 17:46:56 | 531  | HLT_DiPFJetAve60_v10 | 0.000002453    | 0.000002318   |
| 305589:6324 | 10/24/17 22:47:21 | 691  | HLT_DiPFJetAve60_v10 | 0.000003472    | 0.000003323   |
| 305590:6324 | 10/25/17 03:17:26 | 1004 | HLT_DiPFJetAve60_v10 | 0.000004913    | 0.000004790   |
| 305636:6325 | 10/25/17 13:27:50 | 2326 | HLT_DiPFJetAve60_v10 | 0.000011257    | 0.000010818   |
| 305766:6337 | 10/27/17 04:37:33 | 847  | HLT_DiPFJetAve60_v10 | 0.000003988    | 0.000003800   |
| 305809:6341 | 10/27/17 23:20:38 | 142  | HLT_DiPFJetAve60_v10 | 0.000000654    | 0.000000615   |
| 305814:6343 | 10/28/17 06:17:08 | 1823 | HLT_DiPFJetAve60_v10 | 0.000008978    | 0.000008587   |
| 305821:6344 | 10/28/17 20:29:22 | 772  | HLT_DiPFJetAve60_v10 | 0.000003679    | 0.000003465   |
| 305832:6346 | 10/29/17 11:22:50 | 180  | HLT_DiPFJetAve60_v10 | 0.000000840    | 0.000000776   |
| 305840:6346 | 10/29/17 15:39:01 | 1141 | HLT_DiPFJetAve60_v10 | 0.000005632    | 0.000005404   |
| 305842:6346 | 10/29/17 23:07:26 | 862  | HLT_DiPFJetAve60_v10 | 0.000004248    | 0.000004140   |
| 305862:6347 | 10/30/17 11:28:42 | 625  | HLT_DiPFJetAve60_v10 | 0.000002906    | 0.000002761   |
| 305898:6348 | 10/30/17 20:22:11 | 711  | HLT_DiPFJetAve60_v10 | 0.000003358    | 0.000003212   |
| 305902:6349 | 10/31/17 04:27:05 | 469  | HLT_DiPFJetAve60_v10 | 0.000002164    | 0.000002065   |
| 305967:6351 | 10/31/17 16:08:26 | 32   | HLT_DiPFJetAve60_v10 | 0.000000149    | 0.000000141   |
| 306029:6355 | 11/01/17 18:28:41 | 32   | HLT_DiPFJetAve60_v11 | 0.000000149    | 0.000000123   |
| 306030:6355 | 11/01/17 18:42:20 | 110  | HLT_DiPFJetAve60_v11 | 0.000000513    | 0.000000468   |
| 306036:6356 | 11/01/17 22:43:47 | 4    | HLT_DiPFJetAve60_v11 | 0.000000019    | 0             |
| 306037:6356 | 11/01/17 22:46:26 | 44   | HLT_DiPFJetAve60_v11 | 0.000000206    | 0.000000163   |
| 306038:6356 | 11/01/17 23:06:46 | 138  | HLT_DiPFJetAve60_v11 | 0.000000644    | 0.000000591   |
| 306041:6356 | 11/02/17 00:07:18 | 320  | HLT_DiPFJetAve60_v11 | 0.000001458    | 0.000001355   |
| 306042:6356 | 11/02/17 02:14:22 | 365  | HLT_DiPFJetAve60_v11 | 0.000001845    | 0.000001742   |
| 306048:6356 | 11/02/17 04:39:06 | 136  | HLT_DiPFJetAve60_v11 | 0.000000684    | 0.000000636   |
| 306049:6356 | 11/02/17 05:33:33 | 358  | HLT_DiPFJetAve60_v11 | 0.000001823    | 0.000001740   |
| 306051:6356 | 11/02/17 08:00:13 | 415  | HLT_DiPFJetAve60_v11 | 0.000001900    | 0.000001847   |
| 306091:6358 | 11/02/17 18:43:55 | 198  | HLT_DiPFJetAve60_v11 | 0.000000924    | 0.000000853   |
| 306092:6358 | 11/02/17 20:04:27 | 972  | HLT_DiPFJetAve60_v11 | 0.000004827    | 0.000004514   |
| 306095:6358 | 11/03/17 02:42:56 | 300  | HLT_DiPFJetAve60_v11 | 0.000001382    | 0.000001347   |
| 306121:6360 | 11/03/17 13:15:57 | 91   | HLT_DiPFJetAve60_v11 | 0.000000425    | 0.000000384   |
| 306122:6360 | 11/03/17 13:53:17 | 127  | HLT_DiPFJetAve60_v11 | 0.000000593    | 0.000000544   |
| 306125:6360 | 11/03/17 14:46:12 | 2964 | HLT_DiPFJetAve60_v11 | 0.000014564    | 0.000014109   |
| 306126:6360 | 11/04/17 10:14:24 | 497  | HLT_DiPFJetAve60_v11 | 0.000001937    | 0.000001897   |
| 306134:6362 | 11/04/17 17:39:47 | 24   | HLT_DiPFJetAve60_v11 | 0.000000112    | 0.000000093   |
| 306135:6362 | 11/04/17 17:52:01 | 1095 | HLT_DiPFJetAve60_v11 | 0.000005267    | 0.000004967   |
| 306138:6362 | 11/05/17 01:32:21 | 1298 | HLT_DiPFJetAve60_v11 | 0.000006359    | 0.000006164   |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | HLT_DiPFJetAve60_v11 | 0.000005860    | 0.000005751   |
| 306153:6364 | 11/06/17 02:35:56 | 83   | HLT_DiPFJetAve60_v11 | 0.000000387    | 0.000000354   |
| 306154:6364 | 11/06/17 03:10:19 | 1213 | HLT_DiPFJetAve60_v11 | 0.000006050    | 0.000005608   |
| 306155:6364 | 11/06/17 11:12:05 | 1440 | HLT_DiPFJetAve60_v11 | 0.000007144    | 0.000006964   |
| 306169:6364 | 11/06/17 21:43:34 | 735  | HLT_DiPFJetAve60_v11 | 0.000003897    | 0.000003779   |
| 306170:6364 | 11/07/17 02:33:04 | 15   | HLT_DiPFJetAve60_v11 | 0.000000084    | 0.000000079   |
| 306171:6364 | 11/07/17 02:41:35 | 503  | HLT_DiPFJetAve60_v11 | 0.000002486    | 0.000002445   |
| 306418:6370 | 11/09/17 02:11:31 | 66   | HLT_DiPFJetAve60_v12 | 0.000000307    | 0.000000278   |
| 306419:6370 | 11/09/17 02:41:06 | 58   | HLT_DiPFJetAve60_v12 | 0.000000269    | 0.000000246   |
| 306420:6370 | 11/09/17 03:06:38 | 108  | HLT_DiPFJetAve60_v12 | 0.000000499    | 0.000000458   |
| 306422:6370 | 11/09/17 04:30:37 | 115  | HLT_DiPFJetAve60_v12 | 0.000000590    | 0.000000557   |
| 306423:6370 | 11/09/17 05:16:28 | 323  | HLT_DiPFJetAve60_v12 | 0.000001590    | 0.000001502   |
| 306432:6370 | 11/09/17 08:44:06 | 339  | HLT_DiPFJetAve60_v12 | 0.000000940    | 0.000000916   |
| 306454:6371 | 11/09/17 14:18:49 | 85   | HLT_DiPFJetAve60_v12 | 0.000000395    | 0.000000359   |
| 306455:6371 | 11/09/17 14:53:13 | 6    | HLT_DiPFJetAve60_v12 | 0.000000169    | 0.000000130   |
| 306456:6371 | 11/09/17 14:58:09 | 783  | HLT_DiPFJetAve60_v12 | 0.000003659    | 0.000003500   |
| 306457:6371 | 11/09/17 20:03:47 | 28   | HLT_DiPFJetAve60_v12 | 0.000000125    | 0.000000116   |
| 306458:6371 | 11/09/17 20:15:39 | 221  | HLT_DiPFJetAve60_v12 | 0.000001076    | 0.000001035   |
| 306459:6371 | 11/09/17 22:00:10 | 2273 | HLT_DiPFJetAve60_v12 | 0.000011659    | 0.000011401   |
| 306460:6371 | 11/10/17 12:48:13 | 64   | HLT_DiPFJetAve60_v12 | 0.000000269    | 0.000000259   |
| 302026:6147 | 08/30/17 06:49:09 | 30   | HLT_DiPFJetAve60_v9  | 0.000000130    | 0.000000116   |
| 302029:6147 | 08/30/17 07:16:38 | 92   | HLT_DiPFJetAve60_v9  | 0.000000463    | 0.000000380   |
| 302031:6147 | 08/30/17 08:08:29 | 814  | HLT_DiPFJetAve60_v9  | 0.000004482    | 0.000004294   |
| 302033:6147 | 08/30/17 13:34:23 | 41   | HLT_DiPFJetAve60_v9  | 0.000000243    | 0.000000224   |
| 302034:6147 | 08/30/17 13:54:42 | 12   | HLT_DiPFJetAve60_v9  | 0.000000070    | 0.000000021   |
| 302037:6147 | 08/30/17 14:25:38 | 2    | HLT_DiPFJetAve60_v9  | 0.000000011    | 0.000000003   |
| 302038:6147 | 08/30/17 14:31:57 | 1    | HLT_DiPFJetAve60_v9  | 0.000000006    | 0             |
| 302040:6147 | 08/30/17 14:35:43 | 168  | HLT_DiPFJetAve60_v9  | 0.000000932    | 0.000000911   |
| 302041:6147 | 08/30/17 15:44:00 | 65   | HLT_DiPFJetAve60_v9  | 0.000000344    | 0.000000336   |
| 302042:6147 | 08/30/17 16:12:11 | 516  | HLT_DiPFJetAve60_v9  | 0.000002442    | 0.000002391   |
| 302043:6147 | 08/30/17 19:35:17 | 228  | HLT_DiPFJetAve60_v9  | 0.000001010    | 0.000000990   |
| 302131:6152 | 08/31/17 12:32:49 | 873  | HLT_DiPFJetAve60_v9  | 0.000006176    | 0.000006042   |
| 302159:6155 | 09/01/17 00:37:45 | 108  | HLT_DiPFJetAve60_v9  | 0.000000791    | 0.000000748   |
| 302163:6156 | 09/01/17 03:33:23 | 1189 | HLT_DiPFJetAve60_v9  | 0.000008083    | 0.000007812   |
| 302165:6156 | 09/01/17 11:25:29 | 80   | HLT_DiPFJetAve60_v9  | 0.000000421    | 0.000000401   |
| 302166:6156 | 09/01/17 11:58:48 | 16   | HLT_DiPFJetAve60_v9  | 0.000000090    | 0.000000088   |
| 302225:6158 | 09/01/17 18:41:42 | 868  | HLT_DiPFJetAve60_v9  | 0.000005974    | 0.000005841   |
| 302228:6159 | 09/02/17 03:31:11 | 234  | HLT_DiPFJetAve60_v9  | 0.000001791    | 0.000001723   |
| 302229:6159 | 09/02/17 05:05:33 | 457  | HLT_DiPFJetAve60_v9  | 0.000003221    | 0.000003145   |
